17201,"(0,)",He wants to do this rap thing doesn 't he ?,"[He/PRP, wants/VBZ, to/TO, do/VB, this/DT, rap/NN, thing/NN, doesn/JJ, 't/PRP, he/PRP, ?/.]",(ROOT (S (NP (PRP He)) (VP (VBZ wants) (S (VP (TO to) (VP (VB do) (S (NP (NP (DT this) (NN rap) (NN thing)) (ADJP (JJ doesn) (NP (PRP 't)))) (NP (PRP he))))))) (. ?)))
17201,"(222, 223, 224, 225, 226)", yeah I  well I  I did say that I was gonna play badminton then go away and sort out that  when I see Ian  ,"[yeah/UH, I/PRP, well/RB, I/PRP, I/PRP, did/VBD, say/VB, that/IN, I/PRP, was/VBD, gonna/NNP, play/VB, badminton/NNP, then/RB, go/VB, away/RB, and/CC, sort/VB, out/RP, that/IN, when/WRB, I/PRP, see/VBP, Ian/NNP]",(ROOT (SINV (FRAG (INTJ (UH yeah))) (VP (ADVP (PRP I)) (VP (ADVP (RB well) (NP (NP (PRP I)) (ADVP (PRP I)))) (VBD did) (S (VP (VP (VB say) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD was) (S (NP (NNP gonna)) (VP (VB play) (S (NP (NNP badminton)) (RB then) (VP (VB go) (ADVP (RB away)))))))))) (CC and) (VP (VB sort) (PRT (RP out)) (SBAR (IN that) (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP see))))))))) (NP (NNP Ian))))
17201,"(227,)",On the Wednesday ?,"[On/IN, the/DT, Wednesday/NNP, ?/.]",(ROOT (FRAG (PP (IN On) (NP (DT the) (NNP Wednesday))) (. ?)))
17201,"(228,)",And have you sorted out your holiday ?,"[And/CC, have/VB, you/PRP, sorted/VBN, out/RP, your/PRP$, holiday/NN, ?/.]",(ROOT (FRAG (CC And) (VP (VB have) (S (NP (PRP you)) (VP (VBN sorted) (PRT (RP out)) (NP (PRP$ your) (NN holiday))))) (. ?)))
17201,"(229, 230)",How many holidays you got left ?,"[How/WRB, many/JJ, holidays/NNS, you/PRP, got/VBD, left/VBN, ?/.]",(ROOT (SBARQ (WHNP (WHADJP (WRB How) (JJ many)) (NNS holidays)) (SQ (NP (PRP you)) (VP (VBD got) (VP (VBN left)))) (. ?)))
17201,"(231,)",I 've only got,"[I/PRP, 've/VBP, only/RB, got/VBN]",(ROOT (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB only)) (VP (VBN got)))))
17201,"(232,)",No I haven 't,"[No/DT, I/PRP, haven/NN, 't/PRP]",(ROOT (NP (NP (DT No) (PRP I)) (NP (NN haven)) (NP (PRP 't))))
17201,"(233,)",two days left,"[two/CD, days/NNS, left/VBD]",(ROOT (S (NP (CD two) (NNS days)) (VP (VBD left))))
17201,"(234,)",Er yeah I 'm sure I have .,"[Er/NN, yeah/UH, I/PRP, 'm/VBP, sure/JJ, I/PRP, have/VBP, ./.]",(ROOT (S (NP (NP (NN Er)) (SBAR (S (INTJ (UH yeah)) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure)))))) (NP (PRP I)) (VP (VBP have)) (. .)))
17201,"(235, 236)","So if you go to the Christmas do on nineteenth then you just bring Simon home with you afterwards , I think  don 't you ?","[So/RB, if/IN, you/PRP, go/VBP, to/TO, the/DT, Christmas/NNP, do/VBP, on/IN, nineteenth/NN, then/RB, you/PRP, just/RB, bring/VBP, Simon/NNP, home/NN, with/IN, you/PRP, afterwards/RB, ,/,, I/PRP, think/VBP, don/NNP, 't/PRP, you/PRP, ?/.]","(ROOT (S (RB So) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP go) (PP (TO to) (NP (NP (DT the) (NNP Christmas)) (SBAR (S (VP (VBP do) (PP (IN on) (NP (NN nineteenth))) (ADVP (RB then))))) (SBAR (S (NP (PRP you)) (ADVP (RB just)) (VP (VBP bring) (NP (NNP Simon) (NN home)) (PP (IN with) (NP (PRP you)))))))) (ADVP (RB afterwards))))) (, ,) (NP (PRP I)) (VP (VBP think) (S (VP (NNP don) (S (NP (PRP 't)) (NP (PRP you)))))) (. ?)))"
17201,"(237,)",But you need to tell Zoe .,"[But/CC, you/PRP, need/VBP, to/TO, tell/VB, Zoe/NNP, ./.]",(ROOT (S (CC But) (NP (PRP you)) (VP (VBP need) (S (VP (TO to) (VP (VB tell) (NP (NNP Zoe)))))) (. .)))
17201,"(238,)",Right .,"[Right/NN, ./.]",(ROOT (INTJ (NN Right) (. .)))
17201,"(239,)",Cos he finishes at four o 'clock on that day anyway .,"[Cos/NN, he/PRP, finishes/VBZ, at/IN, four/CD, o/NN, 'clock/NN, on/IN, that/DT, day/NN, anyway/RB, ./.]",(ROOT (S (NP (NN Cos)) (NP (PRP he)) (VP (VBZ finishes) (PP (IN at) (NP (NP (CD four) (NN o) (NN 'clock)) (PP (IN on) (NP (DT that) (NN day))))) (ADVP (RB anyway))) (. .)))
17201,"(240,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
17201,"(241,)",So you just bring them home at lunchtime or something give him a  ,"[So/RB, you/PRP, just/RB, bring/VBP, them/PRP, home/NN, at/IN, lunchtime/NN, or/CC, something/NN, give/VBP, him/PRP, a/DT]",(ROOT (ADJP (RB So) (SBAR (S (NP (PRP you)) (ADVP (RB just)) (VP (VBP bring) (SBAR (S (NP (PRP them)) (VP (ADVP (NN home) (PP (IN at) (NP (NN lunchtime) (CC or) (NN something)))) (VBP give) (NP (PRP him) (DT a))))))))))
17201,"(242,)","Can you do that , yeah ?","[Can/MD, you/PRP, do/VB, that/DT, ,/,, yeah/UH, ?/.]","(ROOT (SQ (MD Can) (NP (PRP you)) (VP (VB do) (NP (DT that)) (, ,) (NP (UH yeah))) (. ?)))"
17201,"(243, 244)",Yeah we did it last year cos I broke up the day before last year  all of mine still at school that day .,"[Yeah/UH, we/PRP, did/VBD, it/PRP, last/JJ, year/NN, cos/NN, I/PRP, broke/VBD, up/IN, the/DT, day/NN, before/IN, last/JJ, year/NN, all/DT, of/IN, mine/NN, still/RB, at/IN, school/NN, that/WDT, day/NN, ./.]",(ROOT (S (S (INTJ (UH Yeah)) (NP (PRP we)) (VP (VBD did) (S (NP (PRP it)) (NP (JJ last) (NN year) (NN cos))))) (NP (PRP I)) (VP (VBD broke) (ADVP (IN up) (NP (DT the) (NN day)) (PP (IN before) (NP (JJ last) (NN year)))) (NP (NP (NP (DT all)) (PP (IN of) (NP (NN mine))) (ADVP (RB still))) (PP (IN at) (NP (NN school))) (SBAR (WHNP (WDT that)))) (NP (NN day))) (. .)))
17201,"(245, 246, 247)",Right  Got a  roll of film for the camera ?,"[Right/JJ, Got/VBD, a/DT, roll/NN, of/IN, film/NN, for/IN, the/DT, camera/NN, ?/.]",(ROOT (S (NP (JJ Right)) (VP (VBD Got) (NP (NP (DT a) (NN roll)) (PP (IN of) (NP (NN film)))) (PP (IN for) (NP (DT the) (NN camera)))) (. ?)))
17201,"(248,)",What for ?,"[What/WDT, for/IN, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (PP (IN for)) (. ?)))
17201,"(249,)",Well don 't you need it to be here ?,"[Well/RB, don/NNP, 't/PRP, you/PRP, need/VBP, it/PRP, to/TO, be/VB, here/RB, ?/.]",(ROOT (S (ADVP (RB Well)) (NP (NP (NNP don)) (NP (PRP 't))) (NP (PRP you)) (VP (VBP need) (S (NP (PRP it)) (VP (TO to) (VP (VB be) (ADVP (RB here)))))) (. ?)))
17201,"(250,)",Oh what on the nineteenth ?,"[Oh/UH, what/WDT, on/IN, the/DT, nineteenth/NN, ?/.]",(ROOT (FRAG (PP (NP (UH Oh)) (PP (NP (WDT what)) (IN on) (NP (DT the) (NN nineteenth)))) (. ?)))
17201,"(251, 252)",She go  yeah .,"[She/PRP, go/VBP, yeah/UH, ./.]",(ROOT (S (NP (PRP She)) (VP (VBP go) (NP (UH yeah))) (. .)))
17201,"(253, 254, 255, 256, 257, 258)",That 's a long time ahead  two weekends to go  You ought to see how badly that   can 't you when you    ha ha    three bits on there    suppose you could do that now couldn 't you ?,"[That/DT, 's/VBZ, a/DT, long/JJ, time/NN, ahead/RB, two/CD, weekends/NNS, to/TO, go/VB, You/PRP, ought/MD, to/TO, see/VB, how/WRB, badly/RB, that/IN, can/MD, 't/PRP, you/PRP, when/WRB, you/PRP, ha/NNP, ha/NNP, three/CD, bits/NNS, on/IN, there/EX, suppose/VB, you/PRP, could/MD, do/VB, that/DT, now/RB, couldn/VBP, 't/PRP, you/PRP, ?/.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (DT a) (JJ long) (NN time) (ADVP (RB ahead) (NP (CD two) (NNS weekends))) (S (VP (TO to) (VP (VB go) (S (NP (PRP You)) (VP (MD ought) (S (VP (TO to) (VP (VB see) (SBARQ (WHADVP (WRB how) (RB badly)))))))) (SBAR (IN that) (SINV (MD can) (NP (PRP 't)) (VP (NP (PRP you)) (SBAR (WHADVP (WRB when)) (S (NP (NP (PRP you)) (NP (NNP ha) (NNP ha)) (NP (NP (CD three) (NNS bits)) (PP (IN on) (NP (EX there))))) (VP (VB suppose) (SBAR (S (NP (PRP you)) (VP (MD could) (VP (VB do) (SBAR (S (NP (DT that)) (ADVP (RB now)) (VP (VBP couldn) (S (NP (PRP 't)) (NP (PRP you))))))))))))))))))))) (. ?)))
17201,"(259, 260)",Better than what I 'm doing  any of it though .,"[Better/JJR, than/IN, what/WP, I/PRP, 'm/VBP, doing/VBG, any/DT, of/IN, it/PRP, though/RB, ./.]",(ROOT (S (ADJP (JJR Better) (PP (IN than) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG doing) (NP (NP (DT any)) (PP (IN of) (NP (PRP it)))) (ADVP (RB though)))))))) (. .)))
17201,"(261,)",If you allow a bit like   .,"[If/IN, you/PRP, allow/VBP, a/DT, bit/NN, like/IN, ./.]",(ROOT (FRAG (SBAR (IN If) (S (NP (PRP you)) (VP (VBP allow) (NP (DT a) (NN bit)) (PP (IN like))))) (. .)))
17201,"(262,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
17201,"(263, 264, 265, 266)","I don 't think I 'll pie , you 're right  put out mince pies  we didn 't win on the pools , I 've checked  I 'll throw away the coupon or do you wanna see what you got ?","[I/PRP, don/VBP, 't/PRP, think/VB, I/PRP, 'll/MD, pie/NN, ,/,, you/PRP, 're/VBP, right/RB, put/VBN, out/RP, mince/VB, pies/NNS, we/PRP, didn/VBP, 't/PRP, win/VB, on/IN, the/DT, pools/NNS, ,/,, I/PRP, 've/VBP, checked/VBN, I/PRP, 'll/MD, throw/VB, away/RP, the/DT, coupon/NN, or/CC, do/VBP, you/PRP, wanna/NNP, see/VB, what/WP, you/PRP, got/VBD, ?/.]","(ROOT (S (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB think) (SBAR (S (NP (PRP I)) (VP (MD 'll) (VP (NP (NN pie)))))))))) (, ,) (S (NP (PRP you)) (VP (VBP 're) (ADVP (RB right)) (VP (VBN put) (PRT (RP out)) (S (VP (VB mince) (NP (NP (NNS pies)) (SBAR (S (NP (PRP we)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB win) (PP (IN on) (NP (DT the) (NNS pools)))))))))))))) (, ,) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN checked) (SBAR (S (NP (PRP I)) (VP (VP (MD 'll) (VP (VB throw) (PRT (RP away)) (NP (DT the) (NN coupon)))) (CC or) (VP (VBP do) (S (NP (PRP you)) (NP (NNP wanna)))) (VP (VB see) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBD got))))))))))) (. ?)))"
17201,"(267,)",Have you checked the aways is it ?,"[Have/VB, you/PRP, checked/VBD, the/DT, aways/JJ, is/VBZ, it/PRP, ?/.]",(ROOT (SQ (VP (VB Have) (S (NP (PRP you)) (VP (VBD checked) (SBAR (S (NP (DT the) (JJ aways)) (VP (VBZ is) (NP (PRP it)))))))) (. ?)))
17201,"(268, 269)","Yes , they 're all the aways written out on the top  B T shareholders , do you want this ?","[Yes/UH, ,/,, they/PRP, 're/VBP, all/PDT, the/DT, aways/RB, written/VBN, out/RP, on/IN, the/DT, top/JJ, B/NN, T/NN, shareholders/NNS, ,/,, do/VBP, you/PRP, want/VB, this/DT, ?/.]","(ROOT (S (INTJ (UH Yes)) (, ,) (NP (PRP they)) (VP (VBP 're) (NP (NP (PDT all) (DT the)) (VP (ADVP (RB aways)) (VBN written) (PRT (RP out)) (PP (IN on) (NP (DT the) (JJ top) (NN B) (NN T) (NNS shareholders)))) (, ,) (SBAR (S (VP (VBP do) (S (NP (PRP you)) (VP (VB want) (NP (DT this))))))))) (. ?)))"
17201,"(270,)",No thank you .,"[No/DT, thank/VB, you/PRP, ./.]",(ROOT (S (NP (DT No)) (VP (VB thank) (NP (PRP you))) (. .)))
17201,"(271,)",Next week pools coupon ?,"[Next/JJ, week/NN, pools/NNS, coupon/NN, ?/.]",(ROOT (NP (NP (JJ Next) (NN week) (NNS pools)) (NP (NN coupon)) (. ?)))
17201,"(272,)",Yep .,"[Yep/NN, ./.]",(ROOT (NP (NN Yep) (. .)))
17201,"(273, 274)",Crystal Palace  cam- Coppell campaigns .,"[Crystal/NNP, Palace/NNP, cam-/NNP, Coppell/NNP, campaigns/NNS, ./.]",(ROOT (NP (NP (NNP Crystal) (NNP Palace) (NNP cam-) (NNP Coppell)) (NP (NNS campaigns)) (. .)))
17201,"(275, 276, 277)","Mm , keep that  where did the C draw  voucher go by the way ?","[Mm/NN, ,/,, keep/VB, that/DT, where/WRB, did/VBD, the/DT, C/NN, draw/NN, voucher/RB, go/VB, by/IN, the/DT, way/NN, ?/.]","(ROOT (S (NP (NN Mm)) (, ,) (VP (VB keep) (NP (DT that)) (SBAR (WHADVP (WRB where)) (S (VP (VBD did) (SBAR (S (NP (DT the) (NN C) (NN draw)) (ADVP (RB voucher)) (VP (VB go) (PP (IN by) (NP (DT the) (NN way)))))))))) (. ?)))"
17201,"(278,)",Somewhere .,"[Somewhere/RB, ./.]",(ROOT (FRAG (ADVP (RB Somewhere)) (. .)))
17201,"(279,)",,[],X
17201,"(280, 281, 282)","That one being drawn  twenty six of November  what 's that one , that 's Park School .","[That/DT, one/CD, being/VBG, drawn/VBN, twenty/CD, six/CD, of/IN, November/NNP, what/WP, 's/VBZ, that/DT, one/CD, ,/,, that/DT, 's/VBZ, Park/NNP, School/NNP, ./.]","(ROOT (S (S (NP (DT That) (CD one)) (VP (VBG being) (VP (VBN drawn) (NP (NP (CD twenty) (CD six)) (PP (IN of) (NP (NNP November))) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (NP (DT that) (CD one))))))))) (, ,) (NP (DT that)) (VP (VBZ 's) (NP (NNP Park) (NNP School))) (. .)))"
17201,"(283, 284, 285, 286)",Oh I must see If I can er  Bob and Mum  not Karen and   but  Mum   .,"[Oh/UH, I/PRP, must/MD, see/VB, If/IN, I/PRP, can/MD, er/NN, Bob/NNP, and/CC, Mum/NNP, not/RB, Karen/NNP, and/CC, but/CC, Mum/NN, ./.]",(ROOT (S (S (INTJ (UH Oh)) (NP (PRP I)) (VP (MD must) (VP (VB see) (SBAR (IN If) (S (NP (PRP I)) (VP (MD can) (VP (NP (NN er) (NNP Bob))))))))) (CC and) (S (NP (NNP Mum)) (NP (RB not) (NP (NNP Karen)) (CC and) (NP (CC but) (NN Mum)))) (. .)))
17201,"(287, 288, 289, 290, 291, 292)","Does Mike have some er  Georgian Hotel , look at that  Christmas jokes , Daddy , Eddie 's broken my new dog  how did he do that  I hit him on the   head with it    Why is Father Christmas unemployed ?","[Does/VBZ, Mike/NNP, have/VB, some/DT, er/NN, Georgian/JJ, Hotel/NN, ,/,, look/VB, at/IN, that/DT, Christmas/NNP, jokes/NNS, ,/,, Daddy/NNP, ,/,, Eddie/NNP, 's/POS, broken/JJ, my/PRP$, new/JJ, dog/NN, how/WRB, did/VBD, he/PRP, do/VB, that/DT, I/PRP, hit/VBD, him/PRP, on/IN, the/DT, head/NN, with/IN, it/PRP, Why/WRB, is/VBZ, Father/NN, Christmas/NNP, unemployed/NNP, ?/.]","(ROOT (SQ (VBZ Does) (NP (NNP Mike)) (VP (VB have) (NP (DT some) (NN er) (JJ Georgian) (NN Hotel)) (PRN (, ,) (S (VP (VB look) (PP (IN at) (NP (NP (DT that) (NNP Christmas) (NNS jokes)) (, ,) (NP (NP (NNP Daddy)) (, ,) (NP (NP (NP (NNP Eddie) (POS 's)) (JJ broken)) (NP (PRP$ my) (JJ new) (NN dog)))))) (SBAR (WHADVP (WRB how)) (S (VP (VBD did) (S (NP (PRP he)) (VP (VB do) (SBAR (WHNP (DT that)) (S (NP (PRP I)) (VP (VBD hit) (NP (PRP him)) (PP (IN on) (NP (DT the) (NN head))) (PP (IN with) (NP (PRP it)))))))))))))) (SBAR (WHADVP (WRB Why)) (S (VP (VBZ is) (NP (NN Father) (NNP Christmas) (NNP unemployed)))))) (. ?)))"
17201,"(293,)","Maybe you know that one , cos he got the sack .","[Maybe/RB, you/PRP, know/VBP, that/IN, one/CD, ,/,, cos/NN, he/PRP, got/VBD, the/DT, sack/NN, ./.]","(ROOT (S (ADVP (RB Maybe)) (NP (PRP you)) (VP (VBP know) (SBAR (IN that) (S (NP (NP (CD one)) (, ,) (NP (NP (NN cos)) (NP (PRP he)))) (VP (VBD got) (NP (DT the) (NN sack)))))) (. .)))"
17201,"(294,)","We 've both seen that one Ruth , is it alright ?","[We/PRP, 've/VBP, both/DT, seen/VBN, that/IN, one/CD, Ruth/NNP, ,/,, is/VBZ, it/PRP, alright/JJ, ?/.]","(ROOT (SQ (S (NP (PRP We)) (VP (VBP 've) (ADVP (DT both)) (VP (VBN seen) (SBAR (IN that) (FRAG (NP (NP (CD one)) (NP (NNP Ruth)))))))) (, ,) (SQ (VBZ is) (NP (PRP it)) (ADJP (JJ alright))) (. ?)))"
17201,"(295,)",Why ?,"[Why/WRB, ?/.]",(ROOT (FRAG (WRB Why) (. ?)))
17201,"(296, 297)",Oh no  Fred  ,"[Oh/UH, no/DT, Fred/NNP]",(ROOT (FRAG (INTJ (UH Oh)) (DT no) (NP (NNP Fred))))
17201,"(298,)",With your way you put your foot in it,"[With/IN, your/PRP$, way/NN, you/PRP, put/VBP, your/PRP$, foot/NN, in/IN, it/PRP]",(ROOT (S (PP (IN With) (NP (PRP$ your) (NN way))) (NP (PRP you)) (VP (VBP put) (NP (PRP$ your) (NN foot)) (PP (IN in) (NP (PRP it))))))
17201,"(299,)",,[],X
17201,"(300, 301, 302)","isn 't it , oh yes  perfectly harmless  no malice meant there at all but you try and convince somebody of that .","[isn/NNP, 't/PRP, it/PRP, ,/,, oh/UH, yes/UH, perfectly/RB, harmless/JJ, no/DT, malice/NN, meant/VBD, there/EX, at/IN, all/DT, but/CC, you/PRP, try/VBP, and/CC, convince/VBP, somebody/NN, of/IN, that/DT, ./.]","(ROOT (S (NP (NP (NP (NNP isn)) (NP (PRP 't))) (NP (PRP it))) (PRN (, ,) (SINV (FRAG (INTJ (UH oh) (UH yes))) (VP (ADVP (ADVP (RB perfectly) (JJ harmless)) (NP (DT no) (NN malice))) (VBD meant) (NP (EX there)) (PP (IN at) (NP (NP (DT all)) (ADVP (CC but))))) (NP (PRP you)))) (VP (VP (VBP try)) (CC and) (VP (VBP convince) (NP (NP (NN somebody)) (PP (IN of) (NP (DT that)))))) (. .)))"
17201,"(303,)","Fred it 's rude to keep reaching over the table for the mince pies , haven 't you got a tongue in your head ?","[Fred/NNP, it/PRP, 's/VBZ, rude/JJ, to/TO, keep/VB, reaching/VBG, over/IN, the/DT, table/NN, for/IN, the/DT, mince/VBP, pies/NNS, ,/,, haven/NN, 't/PRP, you/PRP, got/VBD, a/DT, tongue/NN, in/IN, your/PRP$, head/NN, ?/.]","(ROOT (S (S (S (NP (NP (NNP Fred)) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ rude) (S (VP (TO to) (VP (VB keep) (S (VP (VBG reaching) (PP (IN over) (NP (NP (DT the) (NN table)) (PP (IN for) (NP (DT the))))))))))))))) (VP (VBP mince) (NP (NNS pies)))) (, ,) (S (NP (NN haven)) (NP (PRP 't)))) (NP (PRP you)) (VP (VBD got) (NP (DT a) (NN tongue)) (PP (IN in) (NP (PRP$ your) (NN head)))) (. ?)))"
17201,"(304, 305)","Yes , but my arm 's longer  Oh it 's the Christmas crossword I could photocopy that for the children .","[Yes/UH, ,/,, but/CC, my/PRP$, arm/NN, 's/POS, longer/JJR, Oh/UH, it/PRP, 's/VBZ, the/DT, Christmas/NNP, crossword/NN, I/PRP, could/MD, photocopy/VB, that/DT, for/IN, the/DT, children/NNS, ./.]","(ROOT (S (INTJ (UH Yes)) (, ,) (NP (CC but) (NP (NP (PRP$ my) (NN arm) (POS 's)) (NP (NP (JJR longer)) (SBAR (S (VP (NP (INTJ (UH Oh)) (NP (PRP it))))))))) (VP (VBZ 's) (NP (NP (DT the) (NNP Christmas) (NN crossword)) (SBAR (S (NP (PRP I)) (VP (MD could) (VP (VB photocopy) (NP (NP (DT that)) (PP (IN for) (NP (DT the) (NNS children)))))))))) (. .)))"
17201,"(306,)",Where do you get that   from ?,"[Where/WRB, do/VBP, you/PRP, get/VB, that/DT, from/IN, ?/.]",(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBP do) (NP (PRP you)) (VP (VB get) (NP (DT that)) (PP (IN from)))) (. ?)))
17201,"(307, 308)","Oh look how about a Christmas customs , I wonder if the answers are in the back  what kind of fruit sauce is traditionally eaten with turkey ?","[Oh/UH, look/VB, how/WRB, about/IN, a/DT, Christmas/NNP, customs/NNS, ,/,, I/PRP, wonder/VBP, if/IN, the/DT, answers/NNS, are/VBP, in/IN, the/DT, back/NN, what/WDT, kind/NN, of/IN, fruit/NN, sauce/NN, is/VBZ, traditionally/RB, eaten/VBN, with/IN, turkey/NNP, ?/.]","(ROOT (S (INTJ (UH Oh)) (VP (VB look) (SBAR (WHADVP (WRB how)) (S (PP (IN about) (NP (DT a) (NNP Christmas) (NNS customs))) (, ,) (NP (PRP I)) (VP (VBP wonder) (SBAR (IN if) (S (NP (DT the) (NNS answers)) (VP (VBP are) (PP (IN in) (NP (NP (DT the) (NN back)) (SBAR (WHNP (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NN fruit) (NN sauce)))) (S (VP (VBZ is) (ADVP (RB traditionally)) (VP (VBN eaten) (PP (IN with) (NP (NNP turkey)))))))))))))))) (. ?)))"
17201,"(309,)",Cranberry .,"[Cranberry/NN, ./.]",(ROOT (NP (NN Cranberry) (. .)))
17201,"(310, 311)",A well known Christmas decoration was the sacred plant of the druids  what is an advent calendar ?,"[A/DT, well/RB, known/VBN, Christmas/NNP, decoration/NN, was/VBD, the/DT, sacred/JJ, plant/NN, of/IN, the/DT, druids/NNS, what/WP, is/VBZ, an/DT, advent/NN, calendar/NN, ?/.]",(ROOT (S (NP (DT A) (ADJP (RB well) (VBN known)) (NNP Christmas)) (NP (NN decoration)) (VP (VBD was) (NP (NP (DT the) (JJ sacred) (NN plant)) (PP (IN of) (NP (NP (DT the) (NNS druids)) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (NP (DT an) (NN advent) (NN calendar))))))))) (. ?)))
17201,"(312, 313)","Was the sending of Christmas cards introduced , one  one eight two , one eight four six , or nineteen O three ?","[Was/VBD, the/DT, sending/VBG, of/IN, Christmas/NNP, cards/NNS, introduced/VBD, ,/,, one/CD, one/CD, eight/CD, two/CD, ,/,, one/CD, eight/CD, four/CD, six/CD, ,/,, or/CC, nineteen/CD, O/NN, three/CD, ?/.]","(ROOT (SINV (S (VP (VBD Was) (NP (NP (DT the) (VBG sending)) (PP (IN of) (NP (NNP Christmas) (NNS cards)))))) (VP (VBD introduced) (, ,) (NP (CD one) (CD one))) (NP (NP (CD eight) (CD two)) (, ,) (NP (NP (NP (QP (CD one) (CD eight))) (NP (CD four) (CD six))) (, ,) (CC or) (NP (NP (CD nineteen) (NN O)) (NP (CD three))))) (. ?)))"
17201,"(314,)","Oh let 's do that , I like that one","[Oh/UH, let/VB, 's/PRP, do/VB, that/DT, ,/,, I/PRP, like/VBP, that/IN, one/CD]","(ROOT (SINV (S (INTJ (UH Oh)) (VP (VB let) (S (NP (PRP 's)) (VP (VB do) (NP (DT that)))))) (, ,) (VP (ADVP (PRP I)) (VBP like) (PP (IN that))) (NP (CD one))))"
17201,"(315, 316)",What event does  a   celebrate ?,"[What/WDT, event/NN, does/VBZ, a/DT, celebrate/VB, ?/.]",(ROOT (SBARQ (WHNP (WDT What) (NN event)) (SQ (VBZ does) (NP (DT a)) (VP (VB celebrate))) (. ?)))
17201,"(317, 318, 319)","There 's ten questions  well look up , what 's wanted , can you match these nursery rhyme features with suitable Christmas presents  Humpty Dumpty , Old Mother Hubbard , Wee Willy Winky , Jack Spratt , Doctor Foster ,","[There/EX, 's/VBZ, ten/CD, questions/NNS, well/RB, look/VBP, up/RP, ,/,, what/WP, 's/VBZ, wanted/VBN, ,/,, can/MD, you/PRP, match/VB, these/DT, nursery/NN, rhyme/NN, features/VBZ, with/IN, suitable/JJ, Christmas/NNP, presents/VBZ, Humpty/NNP, Dumpty/NNP, ,/,, Old/JJ, Mother/NN, Hubbard/NNP, ,/,, Wee/NNP, Willy/NNP, Winky/NNP, ,/,, Jack/NNP, Spratt/NNP, ,/,, Doctor/NN, Foster/NNP, ,/,]","(ROOT (SBARQ (S (NP (EX There)) (VP (VBZ 's) (ADVP (NP (CD ten) (NNS questions)) (RB well)) (VP (VBP look) (PRT (RP up))))) (, ,) (WHNP (WP what)) (SQ (VP (VBZ 's) (VP (VBN wanted) (PRN (, ,) (SINV (MD can) (NP (PRP you)) (VP (VB match) (SBAR (S (NP (DT these) (NN nursery) (NN rhyme)) (VP (VBZ features) (SBAR (IN with) (S (NP (JJ suitable) (NNP Christmas)) (VP (VBZ presents) (NP (NP (NNP Humpty) (NNP Dumpty)) (, ,) (NP (JJ Old) (NN Mother) (NNP Hubbard)) (, ,) (NP (NNP Wee) (NNP Willy) (NNP Winky)) (, ,) (NP (NNP Jack) (NNP Spratt)) (, ,) (NP (NN Doctor) (NNP Foster))))))))))) (, ,)))))))"
17201,"(320,)","Now that Christmas card one , I 'll have that one .","[Now/RB, that/IN, Christmas/NNP, card/NN, one/CD, ,/,, I/PRP, 'll/MD, have/VB, that/DT, one/CD, ./.]","(ROOT (FRAG (ADVP (RB Now)) (SBAR (IN that) (S (S (NP (NNP Christmas) (NN card) (CD one))) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB have) (NP (DT that) (CD one)))))) (. .)))"
17201,"(321, 322)","And there 's a nativity quiz , quiz  What were swaddling clothes ?","[And/CC, there/EX, 's/VBZ, a/DT, nativity/NN, quiz/NN, ,/,, quiz/NN, What/WP, were/VBD, swaddling/VBG, clothes/NNS, ?/.]","(ROOT (S (CC And) (NP (EX there)) (VP (VBZ 's) (NP (NP (DT a) (NN nativity) (NN quiz)) (, ,) (NP (NP (NN quiz)) (SBAR (WHNP (WP What)) (S (VP (VBD were) (VP (VBG swaddling) (NP (NNS clothes))))))))) (. ?)))"
